ll	bd	md	class
20	6.21	4.77	7
20	6.68	5.41	6
20	7.32	6.05	5
20	7.96	6.68	4
20	8.59	7.32	3
20	9.23	7.96	2
20	9.87	8.59	1
25	6.84	4.77	7
25	7.32	5.41	6
25	8.12	6.05	5
25	8.75	6.68	4
25	9.39	7.32	3
25	10.03	7.96	2
25	10.66	8.59	1
30	7.48	4.77	7
30	7.96	5.41	6
30	8.75	6.05	5
30	9.39	6.68	4
30	10.19	7.32	3
30	10.82	7.96	2
30	11.62	8.59	1
35	7.96	4.77	7
35	8.59	5.41	6
35	9.23	6.05	5
35	10.03	6.68	4
35	10.82	7.32	3
35	11.62	7.96	2
35	12.41	8.59	1
35	13.21	9.23	H1
35	13.85	9.87	H2
40	9.07	5.41	6
40	9.87	6.05	5
40	10.66	6.68	4
40	11.46	7.32	3
40	12.25	7.96	2
40	13.05	8.59	1
40	13.85	9.23	H1
40	14.64	9.87	H2
40	15.44	10.5	H3
40	16.23	11.14	H4
45	9.55	5.41	6
45	10.35	6.05	5
45	11.14	6.68	4
45	11.94	7.32	3
45	12.89	7.96	2
45	13.69	8.59	1
45	14.48	9.23	H1
45	15.44	9.87	H2
45	16.23	10.5	H3
45	17.03	11.14	H4
45	17.83	11.78	H5
45	18.62	12.41	H6
50	10.82	6.05	5
50	11.62	6.68	4
50	12.41	7.32	3
50	13.37	7.96	2
50	14.32	8.59	1
50	15.15	9.23	H1
50	16.07	9.87	H2
50	16.87	10.5	H3
50	17.67	11.14	H4
50	18.62	11.78	H5
50	19.42	12.41	H6
55	12.1	6.68	4
55	12.89	7.32	3
55	13.85	7.96	2
55	14.8	8.59	1
55	15.76	9.23	H1
55	16.55	9.87	H2
55	17.51	10.5	H3
55	18.46	11.14	H4
55	19.26	11.78	H5
55	20.21	12.41	H6
60	12.41	6.68	4
60	13.37	7.32	3
60	14.32	7.96	2
60	15.28	8.59	1
60	16.23	9.23	H1
60	17.19	9.87	H2
60	18.14	10.5	H3
60	18.94	11.14	H4
60	19.89	11.78	H5
60	20.85	12.41	H6
65	12.89	6.68	4
65	13.85	7.32	3
65	14.8	7.96	2
65	15.76	8.59	1
65	16.71	9.23	H1
65	17.67	9.87	H2
65	18.62	10.5	H3
65	19.58	11.14	H4
65	20.53	11.78	H5
65	21.49	12.41	H6
70	13.21	6.68	4
70	14.32	7.32	3
70	15.28	7.96	2
70	16.23	8.59	1
70	17.19	9.23	H1
70	18.14	9.87	H2
70	19.26	10.5	H3
70	20.21	11.14	H4
70	21.17	11.78	H5
70	21.96	12.41	H6
75	14.64	7.32	3
75	15.6	7.96	2
75	16.71	8.59	1
75	17.67	9.23	H1
75	18.78	9.87	H2
75	19.74	10.5	H3
75	20.69	11.14	H4
75	21.65	11.78	H5
75	22.6	12.41	H6
80	14.96	7.32	3
80	16.07	7.96	2
80	17.19	8.59	1
80	18.14	9.23	H1
80	19.1	9.87	H2
80	20.21	10.5	H3
80	21.17	11.14	H4
80	22.12	11.78	H5
80	23.08	12.41	H6
85	15.28	7.32	3
85	16.39	7.96	2
85	17.51	8.59	1
85	18.62	9.23	H1
85	19.58	9.87	H2
85	20.69	10.5	H3
85	21.65	11.14	H4
85	22.76	11.78	H5
85	23.71	12.41	H6
90	15.6	7.32	3
90	16.87	7.96	2
90	17.83	8.59	1
90	18.94	9.23	H1
90	20.05	9.87	H2
90	21.17	10.5	H3
90	22.12	11.14	H4
90	23.24	11.78	H5
90	24.19	12.41	H6
95	17.19	7.96	2
95	18.14	8.59	1
95	19.42	9.23	H1
95	20.53	9.87	H2
95	21.49	10.5	H3
95	22.6	11.14	H4
95	23.71	11.78	H5
95	24.67	12.41	H6
100	17.51	7.96	2
100	18.62	8.59	1
100	19.74	9.23	H1
100	20.85	9.87	H2
100	21.96	10.5	H3
100	23.08	11.14	H4
100	24.19	11.78	H5
100	25.15	12.41	H6
105	17.83	7.96	2
105	18.94	8.59	1
105	20.05	9.23	H1
105	21.33	9.87	H2
105	22.44	10.5	H3
105	23.55	11.14	H4
105	24.51	11.78	H5
105	25.62	12.41	H6
110	18.14	7.96	2
110	19.26	8.59	1
110	20.53	9.23	H1
110	21.65	9.87	H2
110	22.76	10.5	H3
110	23.87	11.14	H4
110	24.99	11.78	H5
110	26.1	12.41	H6
115	18.46	7.96	2
115	19.58	8.59	1
115	20.85	9.23	H1
115	21.96	9.87	H2
115	23.08	10.5	H3
115	24.35	11.14	H4
115	25.46	11.78	H5
115	26.58	12.41	H6
120	18.78	7.96	2
120	19.89	8.59	1
120	21.17	9.23	H1
120	22.28	9.87	H2
120	23.55	10.5	H3
120	24.67	11.14	H4
120	25.78	11.78	H5
120	27.06	12.41	H6
125	18.94	7.96	2
125	20.21	8.59	1
125	21.49	9.23	H1
125	22.6	9.87	H2
125	23.87	10.5	H3
125	24.99	11.14	H4
125	26.26	11.78	H5
125	27.37	12.41	H6
